PosGrp,SuggestedRole,TopFeatures,Player,Squad,League,UMAP_X,UMAP_Y
WF,WF-1,"Tackles_Att 3rd↓, Carries_Carries↓, Performance_Crs↓, Short_Cmp%↓, Aerial Duels_Won%↓",Yoane Wissa,Brentford,Premier League,0.7913108468055725,15.378462791442871
WF,WF-1,"Tackles_Att 3rd↓, Carries_Carries↓, Performance_Crs↓, Short_Cmp%↓, Aerial Duels_Won%↓",Christoph Baumgartner,RB Leipzig,Bundesliga,3.9574460983276367,15.05407428741455
WF,WF-1,"Tackles_Att 3rd↓, Carries_Carries↓, Performance_Crs↓, Short_Cmp%↓, Aerial Duels_Won%↓",Bryan Limbombe,Heracles Almelo,Eredivisie,1.8723578453063965,15.18678092956543
WF,WF-2,"Dist↑, Challenges_Att↑, Challenges_Lost↑, Challenges_Tkl↑, Performance_2CrdY↑",Rodrigo Riquelme,Atlético Madrid,La Liga,3.9269282817840576,12.80884075164795
WF,WF-2,"Dist↑, Challenges_Att↑, Challenges_Lost↑, Challenges_Tkl↑, Performance_2CrdY↑",Denso Kasius,AZ Alkmaar,Eredivisie,4.568100929260254,13.14922046661377
WF,WF-2,"Dist↑, Challenges_Att↑, Challenges_Lost↑, Challenges_Tkl↑, Performance_2CrdY↑",Mattia Zaccagni,Lazio,Serie A,3.4156975746154785,13.437213897705078
WF,WF-2,"Dist↑, Challenges_Att↑, Challenges_Lost↑, Challenges_Tkl↑, Performance_2CrdY↑",Leonardo Spinazzola,Roma,Serie A,4.457645893096924,12.308938980102539
WF,WF-2,"Dist↑, Challenges_Att↑, Challenges_Lost↑, Challenges_Tkl↑, Performance_2CrdY↑",Gelabert,Toulouse,Ligue 1,4.289435386657715,13.416828155517578
CF,CF-0,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",Shamar Nicholson,Clermont Foot,Ligue 1,7.517269611358643,-6.070368766784668
CF,CF-0,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",Sergio Camello,Rayo Vallecano,La Liga,7.288854122161865,-4.9013447761535645
CF,CF-0,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",Walid Cheddira,Frosinone,Serie A,5.847701549530029,-7.064342498779297
CF,CF-0,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",Steve Mounié,Brest,Ligue 1,8.420429229736328,-7.2001519203186035
CF,CF-0,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",Anthony Martial,Manchester Utd,Premier League,6.940701484680176,-6.044042110443115
CF,CF-1,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",Gianluca Scamacca,Atalanta,Serie A,5.234139919281006,-3.6461169719696045
CF,CF-1,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",Radamel Falcao,Rayo Vallecano,La Liga,6.969400882720947,-4.380520343780518
CF,CF-1,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",Richarlison,Tottenham,Premier League,5.641009330749512,-4.901198387145996
CF,CF-1,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",Harry Kane,Bayern Munich,Bundesliga,4.751551628112793,-4.305552005767822
CF,CF-1,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",Nikolas Agrafiotis,Excelsior,Eredivisie,6.218040466308594,-5.572950839996338
CF,CF-2,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",Ivan Toney,Brentford,Premier League,8.259516716003418,-5.643421649932861
CF,CF-2,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",Martin Terrier,Rennes,Ligue 1,6.128407955169678,-3.4461634159088135
CF,CF-2,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",Tijjani Noslin,Hellas Verona,Serie A,6.868775367736816,-4.345040321350098
CF,CF-2,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",Thomas Müller,Bayern Munich,Bundesliga,5.72490930557251,-3.0168137550354004
CF,CF-2,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",Dion Moise Sahi,Strasbourg,Ligue 1,6.2825927734375,-3.8885672092437744
