Player,Squad,League,Pos,PosGrp,RoleCluster,SuggestedRole,TopFeatures,UMAP_X,UMAP_Y
Filipe Relvas,Portimonense,Primeira Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",15.703455,5.9138975
Flavius Daniliuc,Salernitana,Serie A,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",15.642636,5.157476
Florent Ogier,Clermont Foot,Ligue 1,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.758999,7.5952144
Florian Grillitsch,Hoffenheim,Bundesliga,"DF,MF",CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",12.953529,6.7417097
Florian Le Joncour,RWDM,Belgian Pro League,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.520222,7.0655756
Florian Lejeune,Rayo Vallecano,La Liga,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",14.612578,7.078479
Formose Mendy,Lorient,Ligue 1,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",15.425081,5.395494
Francesco Acerbi,Inter,Serie A,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",14.801528,8.849481
Francisco Montero,Arouca,Primeira Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",15.540703,8.783178
Fábio Cardoso,Porto,Primeira Liga,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",13.329619,8.244555
Gabriel Magalhães,Arsenal,Premier League,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",14.568958,8.68231
Gabriel Osho,Luton Town,Premier League,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.692743,5.8936734
Gabriel Paulista,Atlético Madrid,La Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.509386,8.450976
Gabriel Paulista,Valencia,La Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.68306,8.284613
Gabriel Pereira,Gil Vicente FC,Primeira Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",14.977721,7.8870473
Gastón Ávila,Ajax,Eredivisie,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",15.10155,4.8600287
Gautier Lloris,Le Havre,Ligue 1,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.777214,6.966713
Germán Pezzella,Betis,La Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",17.045307,7.121054
Gernot Trauner,Feyenoord,Eredivisie,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",12.582788,7.989976
Gerrit Nauber,Go Ahead Eag,Eredivisie,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",17.380077,7.940506
Gerzino Nyamsi,Strasbourg,Ligue 1,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.164137,8.512976
Gian Marco Ferrari,Sassuolo,Serie A,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",14.518394,7.332933
Giangiacomo Magnani,Hellas Verona,Serie A,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",17.26861,6.009097
Gianluca Mancini,Roma,Serie A,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",14.203781,7.4841986
Giorgio Scalvini,Atalanta,Serie A,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",13.987548,5.526429
Gleison Bremer,Juventus,Serie A,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",15.323046,7.6100287
Gonçalo Inácio,Sporting CP,Primeira Liga,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",12.640834,8.170088
Gonçalo Silva,Farense,Primeira Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",17.190868,8.151619
Guillermo Maripán,Monaco,Ligue 1,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.26405,8.458518
Hannes Delcroix,Burnley,Premier League,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",14.564468,6.253764
Harry Maguire,Manchester Utd,Premier League,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",14.9369755,6.0292645
Haruya Fujii,Kortrijk,Belgian Pro League,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",17.435173,5.984965
Hiroki Ito,Stuttgart,Bundesliga,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",12.705285,6.985246
Hjalmar Ekdal,Burnley,Premier League,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",17.136372,6.7019906
Hrvoje Smolčić,Eint Frankfurt,Bundesliga,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",15.802005,7.6503253
Ibrahima Konaté,Liverpool,Premier League,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",12.683638,8.286925
Ignasi Miquel,Granada,La Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",15.994776,6.446242
Igor,Brighton,Premier League,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",12.494361,7.764047
Igor Rossi Branco,Farense,Primeira Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",17.46865,7.9514027
Igor Zubeldia,Real Sociedad,La Liga,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",15.145817,7.9733143
Ilario Monterisi,Frosinone,Serie A,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",14.836728,6.6085186
Illia Zabarnyi,Bournemouth,Premier League,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.46204,6.855679
Isak Hien,Atalanta,Serie A,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.680717,6.7916083
Isak Hien,Hellas Verona,Serie A,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.40527,6.4112725
Ismaël Kandouss,Gent,Belgian Pro League,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",13.509634,6.853214
Ismaël Traoré,Metz,Ligue 1,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",17.62702,7.3536205
Issa Diop,Fulham,Premier League,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",15.358265,8.363062
Ivan Ordets,Bochum,Bundesliga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.81138,6.0774946
Iván Marcano,Porto,Primeira Liga,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",13.315919,7.5627823
Iñigo Martínez,Barcelona,La Liga,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",13.656199,8.576662
Jack Hinshelwood,Brighton,Premier League,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",14.264568,5.5626287
Jack Robinson,Sheffield Utd,Premier League,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.761463,5.3387446
Jailson Siqueira,Celta Vigo,La Liga,"DF,MF",CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",14.505636,5.3759847
Jaka Bijol,Udinese,Serie A,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",17.476772,6.810437
Jake O'Brien,Lyon,Ligue 1,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",14.905781,8.132712
Jakov Medić,Ajax,Eredivisie,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",13.463249,8.387034
Jakub Kiwior,Arsenal,Premier League,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",13.511651,6.036597
Jamaal Lascelles,Newcastle Utd,Premier League,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",15.330757,8.136786
Jamal Amofa,Go Ahead Eag,Eredivisie,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",15.996672,6.753378
James Tarkowski,Everton,Premier League,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",15.056353,5.3353443
Jan Král,Eupen,Belgian Pro League,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",14.820651,5.5222187
Jan Paul van Hecke,Brighton,Premier League,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",12.8780155,8.527828
Jan Vertonghen,Anderlecht,Belgian Pro League,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",14.041377,8.326745
Jannik Müller,Darmstadt 98,Bundesliga,"DF,MF",CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.115936,4.986117
Jarell Quansah,Liverpool,Premier League,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",13.379672,8.405272
Jarrad Branthwaite,Everton,Premier League,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.619408,5.9743853
Jean-Charles Castelletto,Nantes,Ligue 1,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",14.5156,6.5265937
Jean-Clair Todibo,Nice,Ligue 1,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",12.860722,7.9479427
Jeanuël Belocian,Rennes,Ligue 1,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",14.069759,7.2518544
Jeffrey Bruma,RKC Waalwijk,Eredivisie,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.006811,8.090808
Jeffrey Gouweleeuw,Augsburg,Bundesliga,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",13.877265,6.675307
Jerry St. Juste,Sporting CP,Primeira Liga,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",12.519933,7.779267
Jesper Daland,Cercle Brugge,Belgian Pro League,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",15.136697,5.1512723
Jhon Lucumí,Bologna,Serie A,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",13.586214,8.419157
Joachim Andersen,Crystal Palace,Premier League,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",14.015861,6.735235
Joe Worrall,Nott'ham Forest,Premier League,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",17.862919,7.5481024
Joel Ordóñez,Club Brugge,Belgian Pro League,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.233063,7.661796
Joel Ward,Crystal Palace,Premier League,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.494698,5.2181907
Joey Jacobs,Almere City,Eredivisie,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",15.719717,4.8040547
Johan Vásquez,Genoa,Serie A,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",14.046835,5.5034513
John Brooks,Hoffenheim,Bundesliga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",15.651742,7.1600003
John Egan,Sheffield Utd,Premier League,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",17.595976,6.68408
John Stones,Manchester City,Premier League,"DF,MF",CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",12.406102,7.699419
Jon Pacheco,Real Sociedad,La Liga,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",14.737765,8.373964
Jonas Bager,Charleroi,Belgian Pro League,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.802433,5.24154
Jonathan Buatu Mananga,Gil Vicente FC,Primeira Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.675253,7.40888
Jonathan Gradit,Lens,Ligue 1,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",14.025093,7.352732
Jonathan Tah,Leverkusen,Bundesliga,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",13.134465,8.43266
Joneston Omurwa,Estrela,Primeira Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.497812,6.5731726
Jonny Evans,Manchester Utd,Premier League,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.937626,7.7519975
Jordan Beyer,Burnley,Premier League,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",15.951966,7.0678277
Jordan Torunarigha,Gent,Belgian Pro League,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",13.266404,6.708141
Jordi Vanlerberghe,Mechelen,Belgian Pro League,"DF,MF",CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",13.164175,6.830025
Joren Dom,OH Leuven,Belgian Pro League,"MF,DF",CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",14.422625,5.081897
Jorge Cuenca,Villarreal,La Liga,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",14.745769,6.186894
Jorge Filipe Oliveira Fernandes,Vitória,Primeira Liga,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",15.462069,5.1351433
Jorge Herrando,Osasuna,La Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",18.031307,6.804231
Jorge Meré,Cádiz,La Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",17.92208,6.41806
Joris Kramer,Go Ahead Eag,Eredivisie,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.432903,7.4866323
Jorne Spileers,Club Brugge,Belgian Pro League,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",14.040863,9.199089
Jorrel Hato,Ajax,Eredivisie,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",12.646836,7.3962593
Joseph Aidoo,Celta Vigo,La Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.485958,6.267229
Joseph Okumu,Reims,Ligue 1,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",13.824456,7.449928
Josh Flint,Volendam,Eredivisie,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",14.372921,5.616807
Josip Šutalo,Ajax,Eredivisie,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",13.996033,8.8348875
Josuha Guilavogui,Mainz 05,Bundesliga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.810198,6.122267
Josué Sá,Rio Ave,Primeira Liga,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",14.321772,6.4378853
José Fonte,Braga,Primeira Liga,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",15.738425,8.602301
José María Giménez,Atlético Madrid,La Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",17.05356,8.423868
Jota Gonçalves,Vizela,Primeira Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",15.738109,9.161094
João Escoval,Vizela,Primeira Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.00885,6.239086
João Nunes,Casa Pia,Primeira Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",15.822559,6.635152
João Othavio Basso,Estoril,Primeira Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",15.70565,6.0584455
João Silva,Kortrijk,Belgian Pro League,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",17.987284,6.841164
Joël Matip,Liverpool,Premier League,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",14.499741,8.60718
Joël Schingtienne,OH Leuven,Belgian Pro League,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",15.92704,6.5853457
Joël Veltman,Brighton,Premier League,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",15.061108,4.874199
Juan Jesus,Napoli,Serie A,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",14.503187,8.728415
Juanpe,Girona,La Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",15.908295,8.890454
Jules Van Cleemput,Charleroi,Belgian Pro League,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",17.18741,5.561265
Julian Chabot,Köln,Bundesliga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",15.826464,6.064274
Julien Laporte,Lorient,Ligue 1,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.144455,8.953551
Julien Le Cardinal,Brest,Ligue 1,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",13.6938095,6.3714414
Juriën Gaari,RKC Waalwijk,Eredivisie,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",14.895949,5.4198713
Justin Hoogma,Heracles Almelo,Eredivisie,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",13.969905,7.0207148
Justin de Haas,Famalicão,Primeira Liga,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",14.7849245,7.1775236
Kaiky,Almería,La Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.782352,7.437355
Kamil Piątkowski,Granada,La Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",15.747286,5.8348184
Kelvin Leerdam,Heracles Almelo,Eredivisie,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",17.149803,8.165556
Keven Schlotterbeck,Bochum,Bundesliga,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",15.95629,6.0510573
Kevin Bonifazi,Frosinone,Serie A,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",17.617714,7.09544
Kevin Danso,Lens,Ligue 1,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",14.023352,7.8940153
Kevin Mac Allister,Union SG,Belgian Pro League,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",15.294804,5.0212145
Kevin Vogt,Hoffenheim,Bundesliga,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",14.169697,8.544463
Kevin Vogt,Union Berlin,Bundesliga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",16.120302,8.934236
Kialonda,Estrela,Primeira Liga,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",15.11207,6.9132147
Kike Salas,Sevilla,La Liga,DF,CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",15.191539,5.708204
Kim Min-jae,Bayern Munich,Bundesliga,DF,CB,1,CB-Hybrid,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",13.207471,8.863007
Klaus Gjasula,Darmstadt 98,Bundesliga,"DF,MF",CB,2,CB-Hybrid,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",15.520803,5.018788
Ko Itakura,Gladbach,Bundesliga,"DF,MF",CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",15.054046,6.16222
Koffi Djidji,Torino,Serie A,DF,CB,0,"CB-Sweeper, Carrier, Distributor","Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",17.40991,6.8796263
