Player,Squad,League,Pos,PosGrp,RoleCluster,SuggestedRole,TopFeatures,UMAP_X,UMAP_Y
Felippe Cardoso,Casa Pia,Primeira Liga,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.0982428,-6.9809365
Ferdy Druijf,Zwolle,Eredivisie,"FW,MF",CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",8.32148,-6.5573587
Fernando,Casa Pia,Primeira Liga,"FW,MF",CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.6629033,-4.9609756
Ferran Jutglà,Club Brugge,Belgian Pro League,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",4.9210067,-4.0130196
Ferrán Torres,Barcelona,La Liga,FW,CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",5.9088593,-3.1393538
Finn Stokkers,Go Ahead Eag,Eredivisie,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",5.9402313,-4.6843014
Folarin Balogun,Monaco,Ligue 1,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",4.6035776,-5.187542
Francesco Caputo,Empoli,Serie A,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.308186,-7.659767
Frank Magri,Toulouse,Ligue 1,"FW,MF",CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",7.433186,-4.117477
Gabriel Jesus,Arsenal,Premier League,FW,CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",5.3286943,-3.3470538
Gaetano Oristanio,Cagliari,Serie A,"FW,MF",CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",7.2975035,-3.39082
Gaëtan Laborde,Nice,Ligue 1,"FW,MF",CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",6.846781,-3.427578
George Ilenikhena,Antwerp,Belgian Pro League,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",5.3451633,-7.3318114
Giacomo Raspadori,Napoli,Serie A,"FW,MF",CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",6.295865,-2.7978191
Gianluca Lapadula,Cagliari,Serie A,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.021704,-7.551149
Gianluca Scamacca,Atalanta,Serie A,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",5.23414,-3.646117
Gift Orban,Gent,Belgian Pro League,"FW,MF",CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",4.9456186,-4.047036
Gift Orban,Lyon,Ligue 1,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.0427117,-6.797734
Giovanni Simeone,Napoli,Serie A,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",6.075684,-5.5506516
Gonçalo Paciência,Bochum,Bundesliga,"FW,MF",CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",5.260209,-4.1117735
Gonçalo Ramos,Paris S-G,Ligue 1,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",6.5331597,-4.40777
Gorka Guruzeta,Athletic Club,La Liga,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",7.4827785,-4.6997185
Grejohn Kyei,Clermont Foot,Ligue 1,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",7.7101545,-5.8610125
Gustaf Nilsson,Union SG,Belgian Pro League,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",4.996989,-6.042724
Guus Til,PSV Eindhoven,Eredivisie,MF,CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",5.7363043,-3.2369397
